드라이피니시 d,Dry Finish d,라거,5,시원하게 즐기는 깔끔하고 청량한 맥주,낮은,_dryfinishd.png
맥스,Max,라거,4.5,구수한 부리의 느낌이 부드러운 맥주,낮은,_max.png
버드와이저,Budweiser,라거,5,나무로 숙성한 깔끔하고 청량한 맥주,낮은,_budweiser.png
아사히 슈퍼 드라이,Asahi Super Dry,라거,5,상쾌한 목넘김 뒤에 단맛이 옅은 맥주,낮은,_asahisuperdry.png
오비 골든라거,OB Golden Lager,라거,4.5,보리의 구수함이 은은하게 퍼지는 맥주,낮은,_obgoldenlager.png
카스 프레시,Cass Fresh,라거,4.5,옅은 단맛이 입맛을 돋우는 시원한 맥주,낮은,_cassfresh.png
하이트,Hite,라거,4.5,무엇과 곁들여도 어울리는 순한 맥주,낮은,_hite.png
기린 이치방,Kirin Ichiban,라거,5,구수한 단맛이 시원하고 깔끔한 맥주,낮은,_kirinIchiban.png
밀러,Miller Genuine Draft,라거,4.7,1L를 비워도 부담 없이 부드러운 맥주,낮은,_millergenuinedraft.png
레페 브라운,Leffe Brune,에일,6.5,검은 과일의 달콤함에 인기를 얻은 맥주,낮은,_leffebrune.png
퀸즈에일 블론드 타입,Queens Ale Blonde Type,에일,5.4,가벼운 단맛이 향긋하게 지나는 맥주,낮은,_queensaleblondetype.png
퀸즈에일 엑스트라비터 타입,Queens aAle Extra Bitter Type,에일,5.4,꽃향이 있는 가볍고 쌈싸름한 맥주,낮은,_queensaaleextrabittertype.png
듀벨,Duvel,에일,8.5,샴페인을 머금은 악마의 맥주,높은,_duvel.png
레페 브론드,Leffe Blonde,에일,6.6,바나나의 달콤함과 탄산이 만난 맥주,낮은,_leffeblonde.png
스미딕스 에일,Smithwicks Superior Irish Ale,에일,3.8,진한 색에 비해 맛이 연한 무난한 맥주,낮은,_smithwickssuperiorIrishale.png
뉴캐슬브라운,Newcastle Brown Ale,에일,4.7,꿀을 머금은 갈색 빛의 맥주,높은,_newcastlebrownale.png
쿠퍼스 스파클링 에일,Coppers Sparkling Ale,에일,5.8,캥거루가 뛰어다니듯 톡톡 튀는 맥주,중간,_copperssparklingale.png
쿠퍼스 오리지날 페일 에일,Coopers Original Pale Ale,에일,4.5,새콤한 촉감 뒤로 쓴맛이 있는 맥주,중간,_coopersoriginalpaleale.png
제주지앵,Jejusien,에일,5,감귤로 만든 국내 수제맥주,낮은,_jejusien.png
산토리 더 프리미엄 몰츠,Suntory The Premium Malts,필스너,5.5,단맛과 쓴맛이 탄산과 조화로운 맥주,중간,_suntorythepremiummalts.png
칼스버그,Calsberg,필스너,5,기분 좋은 향긋함이 있는 청량한 맥주,낮은,_carlsberg.png
"5,0 오리지날 필스","5,0 Original Pils",필스너,5,쓴맛과 은은한 고소함이 정석적인 맥주,낮은,_50originalpils.png
스테판스 필스너,Stephans Brau Premium Pilsener,필스너,4.8,씁씁한 끝맛이 향긋하게 번지는 맥주,낮은,_stephansbraupremiumpilsener.png
산미구엘 필센,San Miguel Pale Pilsen,필스너,5,시큼 짭짜름한 맛이 있는 상쾌한 맥주,낮은,_sanmiguelpalepilsen.png
크롬바커 필스,Krombacher Pils,필스너,4.8,고독한 분위기의 고소하고 씁쓸한 맥주,중간,_krombacherpils.png
필스너 우르켈,Pilsner Urquell,필스너,4.4,쌉쌀함과 달달함이 균형이 이룬 맥주,낮은,_pilsnerurquell.png
바르슈타이너 프리미엄 베룸,Warsteiner Premium Verum,필스너,4.8,달달함과 씁쓸함이 조화로운 맥주,중간,_warsteinerpremiumverum.png
벡스,Becks,필스너,5,가벼운 쓴맛이 느껴지는 청량한 맥주,낮은,_becks.png
부데요비츠키 부드바르,Bedweiser Budvar,필스너,5,단맛과 쓴맛이 부드럽게 이어지는 맥주,낮은,_bedweiserbudvar.png
세븐브로이 IPA,7brau India Pale Ale,IPA,5.5,순한 캐러멜 뒤에 씁쓸함이 남는 맥주,낮은,_7brauIndiapaleale.png
인디카 IPA,Indica India Pale Ale,IPA,6.5,향긋한 솔향 아래 진득한 쓴맛의 맥주,높은,_indicaindiapaleale.png
히타치노 네스트 클래식 에일,Hitachino Nest Japanese Classic Ale,IPA,7,히타치노 네스트 클래식 에일,높은,_hitachinonestjapaneseclassicale.png
투이 이스트 인디아 페일 에일,Tui East India Pale Ale,IPA,4,단맛과 쓴맛이 은은해 IPA를 느껴볼 수 있는 맥주,중간,_tuieastIndiapaleale.png
빅아이 IPA,Ballast Point Big Eye IPA,IPA,7,자몽과 홉의 신선함이 느껴지는 IPA,높은,_ballastpointbigeyeipa.png
스컬핀 IPA,Ballast Point Sculpin IPA,IPA,7,살구를 품은 균형잡힌 IPA,높은,_ballastpointsculpinipa.png
브룩클린 이스트 인디아 페일 에일,Brooklyn East India Pale Ale,IPA,6.9,깔끔한 쓴맛이 기분 좋게 향긋한 맥주,중간,_brooklyneastIndiapaleale.png
파이랫,Piraat,IPA,10.5,위드머 브라더스 피치 블랙 IPA,중간,_piraat.png
위드머 브라더스 피치 블랙 IPA,Widmer Brothers Pitch Black IPA,IPA,6.5,홉과 볶은 보리가 어우러진 IPA,중간,_widmerbrotherspitchblackipa.png
위드머 브라더스 넬슨 임페리얼 IPA,Widmer Brothers Nelson Imperial IPA,IPA,8.6,달콤한 맥아 위에 홉이 더해져 기분 좋게 마실 수 있는 맥주,중간,_widmerbrothersnelsonimperialipa.png
